movimento_id,data,produto_id,tipo,quantidade,quantidade_efetiva,preco_unitario,preco_total,fornecedor,estoque_afetado,motivo
1,2026-01-25,1,entrada,5.0,5.0,103.9,519.5,Torrefação Serra Verde,,
2,2026-01-25,1,abertura,1.0,-1.0,,,,,
3,2026-01-25,2,entrada,20.0,20.0,6.23,124.6,Laticínios Vale Fresco,,
4,2026-01-25,2,abertura,2.0,-2.0,,,,,
5,2026-01-25,3,entrada,20.0,20.0,9.06,181.2,NutriPlant Bebidas Vegetais,,
6,2026-01-25,3,abertura,1.0,-1.0,,,,,
7,2026-01-25,4,entrada,10.0,10.0,5.29,52.9,Atacadão Distribuidora,,
8,2026-01-25,4,abertura,2.0,-2.0,,,,,
9,2026-01-25,5,entrada,3.0,3.0,86.76,260.28,Doces & Cia Distribuidora,,
10,2026-01-25,5,abertura,1.0,-1.0,,,,,
11,2026-01-25,6,entrada,1.0,1.0,148.62,148.62,Oriental Import Chá,,
12,2026-01-25,6,abertura,0.2,-0.2,,,,,
13,2026-01-25,7,entrada,6.0,6.0,17.32,103.92,Frutas do Vale Congelados,,
14,2026-01-25,7,abertura,1.0,-1.0,,,,,
15,2026-01-25,8,entrada,200.0,200.0,0.37,74.0,Embalagens Rápidas Ltda,,
16,2026-01-25,8,abertura,100.0,-100.0,,,,,
17,2026-01-25,9,entrada,150.0,150.0,0.46,69.0,Embalagens Rápidas Ltda,,
18,2026-01-25,9,abertura,100.0,-100.0,,,,,
19,2026-01-25,10,entrada,300.0,300.0,0.13,39.0,Embalagens Rápidas Ltda,,
20,2026-01-25,10,abertura,150.0,-150.0,,,,,
21,2026-01-25,11,entrada,500.0,500.0,0.05,25.0,EcoPack Descartáveis,,
22,2026-01-25,11,abertura,250.0,-250.0,,,,,
23,2026-01-25,12,entrada,2000.0,2000.0,0.03,60.0,Embalagens Rápidas Ltda,,
24,2026-01-25,12,abertura,400.0,-400.0,,,,,
25,2026-01-25,13,entrada,84.0,84.0,3.01,252.84,Padoca da Vila,,
26,2026-01-25,13,abertura,20.0,-20.0,,,,,
27,2026-01-25,14,entrada,40.0,40.0,2.88,115.2,Padoca da Vila,,
28,2026-01-25,14,abertura,12.0,-12.0,,,,,
29,2026-01-25,15,entrada,30.0,30.0,7.1,213.0,Doceria Doce Encanto,,
30,2026-01-25,15,abertura,15.0,-15.0,,,,,
31,2026-01-25,16,entrada,30.0,30.0,8.96,268.8,Doceria Doce Encanto,,
32,2026-01-25,16,abertura,12.0,-12.0,,,,,
33,2026-01-25,17,entrada,26.0,26.0,6.01,156.26,Doceria Doce Encanto,,
34,2026-01-25,17,abertura,8.0,-8.0,,,,,
35,2026-01-25,18,entrada,26.0,26.0,3.58,93.08,Doceria Doce Encanto,,
36,2026-01-25,18,abertura,8.0,-8.0,,,,,
37,2026-01-25,19,entrada,96.0,96.0,1.85,177.6,Distribuidora Bebidas Sul,,
38,2026-01-25,19,abertura,24.0,-24.0,,,,,
39,2026-01-25,20,entrada,96.0,96.0,2.85,273.6,Distribuidora Bebidas Sul,,
40,2026-01-25,20,abertura,24.0,-24.0,,,,,
41,2026-01-25,18,ajuste,1.0,1.0,3.58,,,,Contagem mensal de estoque - sobra encontrada
42,2026-01-25,9,ajuste,1.0,-1.0,0.46,,,,Contagem mensal de estoque - diferença encontrada
43,2026-01-25,14,ajuste,1.0,-1.0,2.88,,,,Contagem mensal de estoque - diferença encontrada
